mes,Total Volumen,Total Porcentaje de Llenado Completo,Total Energia GWh,Total Ingresos Energia,Total Demanda Riego,Total Riego Entregado,Total Satisfaccion Riego,Volumen Embalse Potrerillos,Carrizal Volumen Embalse,Nihuil Volumen Embalse,Agua Del Toro Volumen Embalse,Potrerillos Satisfaccion Riego,Carrizal Satisfaccion Riego,Nihuil Satisfaccion Riego,Agua Del Toro Satisfaccion Riego,Potrerillos Generacion GWh,Carrizal Generacion GWh,Nihuil Generacion GWh,Agua Del Toro Generacion GWh,Conviene Riego,Conviene Energia
25,1708.591326487272,0.6146011965781554,132.31798933030635,10585439.146424508,493.0,217.70825060005797,0.44159888559849486,1144.4394704540327,121.06444280260732,226.9011826442622,216.18623058636987,0.6240239429492547,1.0,0.89456440167781,0.7905046467745699,107.78259855727916,3.5738599317936153,9.338131918924134,11.62339892230944,0,1
26,1700.730383438902,0.6117735192226266,143.20865536869417,11456692.429495534,470.0,229.63354332266377,0.4885820070694974,1143.6379407815098,119.00730829898157,222.24488816669816,215.84024619171254,0.7046261616793958,1.0,0.9978887596720029,0.8892509339402472,115.91473957887456,4.956483661065765,9.84123675466021,12.49619537409364,0,1
27,1693.6089612495239,0.6092118565645769,125.77620399384384,10062096.319507508,314.0,175.8685581839199,0.5600909496303181,1142.8903497202175,117.1961350882164,218.00512565900482,215.51735078208515,0.8806529350849517,1.0,1.0,1.0,96.73741322794511,5.492028546315536,11.27271968344211,12.274042536141067,0,1
28,1686.6569080939864,0.6067111180194196,230.8538292566555,18468306.34053244,180.0,108.0,0.6,1142.005033490102,115.49313775666697,214.0233118451266,215.13542500209078,1.0,1.0,1.0,1.0,173.3402168144066,10.347038570134343,20.91548447077059,26.251089401343968,0,1
29,1680.748611417159,0.6045858314450212,206.27152279628064,16501721.82370245,155.0,93.0,0.6,1141.3339716816695,114.07722865358292,210.4921427181957,214.8452683637109,1.0,1.0,1.0,1.0,154.81488633549867,9.21781899913515,18.64027625820588,23.598541203440927,0,1
30,1675.9819350557896,0.602871199660356,251.65484735299015,20132387.78823921,155.0,93.0,0.6,1140.9336302727147,112.95685790578749,207.42028368751562,214.67116318977165,1.0,1.0,1.0,1.0,189.5805792946229,11.119259672406754,21.999983121867196,28.95502526409328,0,1
31,1673.587835778149,0.6020100128698378,160.02617261581918,12802093.809265533,224.0,134.4,0.6,1140.8611633629166,112.14320898026045,205.9457651485422,214.63769828642955,1.0,1.0,1.0,1.0,120.23861299284997,7.182584817287106,14.517059136327216,18.08791566935487,0,1
32,1671.3424002619622,0.6012023022525044,156.5187796644779,12521502.373158233,359.0,209.65325773260832,0.583992361372168,1141.18262854743,111.654584475268,203.73189839297973,214.77328884628446,0.9521104811050694,1.0,1.0,1.0,119.44797458758767,6.990089112052353,13.171768623645276,16.908947341192626,0,1
33,1671.6877987703635,0.6013265463202746,136.70875260093737,10936700.20807499,449.0,220.3345065124384,0.49072273165353764,1141.5463552467572,111.27224369569556,203.9418634436975,214.9273363842133,0.7105670034363673,1.0,0.9893714743444052,0.8961104860625304,111.44698302725571,4.445983060759756,8.82262634004793,11.993160172873978,0,1
34,1670.0882022715004,0.6007511518962232,140.37276264875834,11229821.011900667,515.0,231.6183267148096,0.4497443237180769,1141.9652015941904,110.99247030212474,202.02519998034748,215.10533039483772,0.640462370301394,1.0,0.8961672971246738,0.8114735860516333,115.3373495131111,3.574493857971908,9.043559331856901,12.417359945818413,0,1
35,1668.6159286302768,0.6002215570612507,143.93012054614766,11514409.643691814,470.0,230.46619387412295,0.4903536039874956,1142.297543964185,110.72452869424434,200.34729522660564,215.24656074524194,0.7154136990961838,1.0,0.9592020867249069,0.9027976370800502,117.62766248166311,4.786502816228989,8.84795347838389,12.668001769871667,0,1
36,1670.392021486061,0.6008604393834751,171.61217337310404,13728973.869848324,449.0,251.37379284677002,0.5598525453157461,1142.4501622394318,110.40838868608051,202.22245823393155,215.31101232661712,0.8798252856451337,1.0,1.0,1.0,138.04265439575977,6.511107445888922,9.432741411005155,17.625670120450184,0,1
37,1691.988733272124,0.6086290407453683,142.5233254618404,11401866.036947232,493.0,231.56804392615823,0.4697120566453514,1142.0384543811267,115.21378900905798,219.6027245851201,215.13376529681912,0.6720669740528807,1.0,0.9549109639530838,0.8514091692578182,115.9717332127761,4.30897050708781,9.756134365301046,12.486487376675443,0,1
38,1685.9136392482728,0.606443755125278,125.2405719299969,10019245.754399752,470.0,206.70214263114286,0.43979179283221886,1141.4863768343535,113.90371113071329,215.62725495689529,214.89629632631093,0.6234867343749819,1.0,0.8817136287640948,0.7862899987466029,102.48058272655815,3.210782594681029,8.525569203493943,11.023637405263779,0,1
39,1680.0689604705567,0.6043413526872506,189.01100803028794,15120880.642423036,314.0,188.4,0.6,1140.8438635685347,112.67644247696204,211.92869244383832,214.6199619812216,1.0,1.0,1.0,1.0,141.7372025779779,8.580754701888058,17.47749299074346,21.21555775967851,0,1
40,1674.68699329234,0.6024053932706259,275.9372352073033,22074978.816584263,180.0,108.0,0.6,1140.125632853372,111.52429389080369,208.7260176368606,214.31104891130357,1.0,1.0,1.0,1.0,210.9442586971986,11.591192268415538,21.391996948519843,32.00978729316932,0,1
41,1686.4345060873093,0.6066311172975932,227.07388293139402,18165910.634511523,155.0,93.0,0.6,1139.5860722175194,114.29227990420301,218.47758728942046,214.07856667616645,1.0,1.0,1.0,1.0,169.9809519573883,10.112638369710673,21.078160050731398,25.902132553563654,0,1
42,1681.160249775198,0.6047339027968338,300.00757158036913,24000605.72642953,155.0,93.0,0.6,1139.3721178624976,113.14487192889983,214.6576929565428,213.98556702725784,1.0,1.0,1.0,1.0,228.28385705752115,12.442504089915936,24.39739864870528,34.88381178422678,0,1
43,1693.807442869321,0.609283252830691,204.03333115847582,16322666.492678065,224.0,134.4,0.6,1139.3105470680975,117.75784655172191,222.7811140772971,213.95793517220437,1.0,1.0,1.0,1.0,152.1930674247172,9.37938960478617,19.472448967190356,22.988425161782075,0,1
44,1689.1744285167633,0.6076167009053105,178.60972011133782,14288777.608907025,359.0,215.4,0.6,1139.6733659696688,116.479015056635,218.90975399169147,214.11229349876805,1.0,1.0,1.0,1.0,133.1948189339211,8.417786822198547,17.065133973248155,19.93198038197,0,1
45,1685.3759244295816,0.6062503325286265,161.66501772355886,12933201.41788471,449.0,241.61301504447553,0.5381136192527295,1140.1347991102843,115.4424846677379,215.48947580832197,214.3091648432374,0.814753433629837,1.0,1.0,1.0,127.71723476975407,6.513854148558713,13.005148681418554,14.428780123827528,0,1
46,1682.249375766714,0.605125674736228,157.78467962917614,12622774.37033409,515.0,253.6318974607505,0.4924891212830107,1140.656283713566,114.60113415370839,212.4599264885477,214.5320314108918,0.7135887360334844,1.0,0.9878236786156217,0.9043844754383833,128.44046004728494,5.22949917475903,10.295201040622146,13.81951936651002,0,1
47,1681.5111639047118,0.6048601309009755,182.9671695357411,14637373.562859287,470.0,264.28826374804976,0.5623154547830846,1141.107349834898,113.8590270613002,211.81981519033923,214.72497181817425,0.8873299220613853,1.0,1.0,1.0,145.82603591202218,6.864834329452538,11.439137525980758,18.837161768285647,0,1
48,1703.9138702633636,0.6129186583681164,127.13651325308217,10170921.060246574,449.0,207.09158002205606,0.46122846330079303,1141.3237563394318,120.98745295967483,226.7851158878078,214.8175450764493,0.6578360960231721,1.0,0.9389456531869512,0.8293112131803401,103.16755675725643,3.902724853503214,8.970093823237026,11.0961378190855,0,1
49,1697.8075115792349,0.6107221264673507,129.7061201692979,10376489.613543833,493.0,214.66778215563662,0.4354316068065651,1141.3292531679272,119.21244423679622,222.4459898677328,214.8198243067786,0.6141543478769385,1.0,0.8780112404851488,0.7776999259288843,105.94893509108104,3.3141496280314566,9.046381834408654,11.396653615776753,0,1
50,1691.1572812420693,0.6083299572813199,138.0804761802779,11046438.094422232,470.0,223.30034697935506,0.47510712123267035,1140.888661502324,117.41042629124473,218.22726066304074,214.63093278545978,0.6824511813055546,1.0,0.9647568820256845,0.8609269032476118,112.14614705347034,4.470609135503448,9.40159780505823,12.062122186245906,0,1
51,1684.5691678580138,0.6059601323230266,178.52480194945014,14281984.155956011,314.0,188.4,0.6,1140.2560423105328,115.70299362885223,214.25053933038788,214.35959258824073,1.0,1.0,1.0,1.0,133.4964683298123,8.306813791863783,16.787519881143293,19.933999946630767,0,1
52,1678.9065415524688,0.6039232163857802,200.8566501920713,16068532.015365705,180.0,108.0,0.6,1139.7806304714584,114.26594027730461,210.70454802106508,214.15542278264067,1.0,1.0,1.0,1.0,150.97802180467932,8.99556097116395,18.12742375453643,22.7556436616916,0,1
53,1673.7134484256048,0.6020551972753975,284.84594638943577,22787675.71115486,155.0,93.0,0.6,1139.310605085706,112.98737875143512,207.46202939055982,213.95343519790384,1.0,1.0,1.0,1.0,217.2452925693711,12.406827813040072,22.013572582833454,33.180253424191115,0,1
54,1684.6047932024285,0.6059729471951182,244.0931405008306,19527451.240066446,155.0,93.0,0.6,1139.073441742661,113.81484554146964,217.86537132185404,213.85113459644356,1.0,1.0,1.0,1.0,182.87370680530296,10.817971686054655,22.523748588685205,27.877713420787796,0,1
55,1680.2325851606024,0.6044002104894254,209.073521405991,16725881.71247928,224.0,134.4,0.6,1139.1806773152148,112.88110391485843,214.27438615282,213.89641777770933,1.0,1.0,1.0,1.0,156.77123786654784,9.31115779448364,19.3000646351689,23.69106110979061,0,1
56,1677.2347433350387,0.6033218501205175,145.78693056277004,11662954.445021603,359.0,202.83903300713206,0.5650112340031533,1139.6299955002787,112.26905012010671,211.24728038115586,214.08841733349755,0.8953252750594339,1.0,1.0,1.0,112.25567038092488,6.224552173413773,12.626778023186654,14.679929985244723,0,1
57,1674.6786073063467,0.6024023767289017,163.91834716935432,13113467.773548346,449.0,244.44485670565385,0.544420616270944,1140.087387038341,111.76731982914028,208.53980272771605,214.28409771114963,0.8336323780376924,1.0,1.0,1.0,130.6741907123946,6.6514689783079515,11.252443133001297,15.340244345650492,0,1
58,1680.6232096661502,0.6045407229014929,167.45135200725704,13396108.160580562,515.0,265.60585574444485,0.5157395257173687,1140.7230695714024,111.45952570654293,213.8842254048242,214.55638898338051,0.7601669225792295,1.0,1.0,0.9636304110469021,136.8277511277923,5.420634308254195,10.477248335865662,14.72571823534487,0,1
59,1689.4543462197948,0.607717390726545,103.934378266595,8314750.261327601,470.0,175.51450556554744,0.37343511822456904,1141.0056416495236,114.76539026808355,219.0057237281875,214.6775905740001,0.5203240529726961,0.9215528680014736,0.7439495437954247,0.6555676812450814,85.50796216092344,1.9737572298849075,7.266688200631021,9.185970675155634,0,1
60,1685.4912199003702,0.6062918057195577,164.0845982652418,13126767.861219343,449.0,243.0227689234659,0.541253382903042,1141.2597073543673,113.91083426434216,215.53401214389598,214.78666613776483,0.8241517928231059,1.0,1.0,1.0,129.2473854887532,6.595426473960953,13.337748585783904,14.904037716743744,0,1
61,1680.9071098268214,0.6046428452614465,131.36240326224646,10508992.260979718,493.0,217.25580441272055,0.44068114485338855,1141.1017873637018,112.94582008144691,212.1402547993133,214.71924758235954,0.6242439195755171,1.0,0.88308174560577,0.7905122340571463,107.67991924904726,3.2790856668650643,8.821867356109573,11.581530990224566,0,1
